TestNo,Status,Choice1_Type,Choice1_ID,Choice1_Desc,Choice2_Type,Choice2_ID,Choice2_Desc,Choice3_Type,Choice3_ID,Choice3_Desc
6934,Found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6940,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
6945,Found,CG,10VEHCCG0000AC1P,QUESTIONABLE DATA THROUGHOUT T,N/A,N/A,N/A,N/A,N/A,N/A
6946,Found,CG,10VEHCCG0000AC1P,v06946_001aa0.uds; Sensor: typ,N/A,N/A,N/A,N/A,N/A,N/A
6947,Found,CG,10VEHCCG0000AC1P,v06947_001aa0.uds; Sensor: typ,N/A,N/A,N/A,N/A,N/A,N/A
6948,Found,CG,10VEHCCG0000AC1P,v06948_001aa0.uds; Sensor: typ,N/A,N/A,N/A,N/A,N/A,N/A
6951,Found,CROSSMEMBER,10SEATLERE00AC1P,V1 LEFT REAR SEAT CROSSMEMBER ,CROSSMEMBER,10SEATRIRE00AC1P,V1 RIGHT REAR SEAT CROSSMEMBER,N/A,N/A,N/A
6953,Found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6964,Found,CROSSMEMBER,10SEATLERE00AC1P,V1 LEFT REAR SEAT CROSSMEMBER ,CROSSMEMBER,10SEATRIRE00AC1P,V1 RIGHT REAR SEAT CROSSMEMBER,N/A,N/A,N/A
6976,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
6978,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
6982,Found,CG,10VEHCCG0000AC1P,v06982_001aa0.uds; Sensor: typ,N/A,N/A,N/A,N/A,N/A,N/A
6983,Found,CG,10VEHCCG0000AC1P,v06983_001aa0.uds; Sensor: typ,N/A,N/A,N/A,N/A,N/A,N/A
6991,Found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6992,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
6994,Found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6996,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X:,N/A,N/A,N/A
6998,Found,CROSSMEMBER,10SEATLERE00AC1P,V1 LEFT REAR SEAT CROSSMEMBER ,CROSSMEMBER,10SEATRIRE00AC1P,V1 RIGHT REAR SEAT CROSSMEMBER,N/A,N/A,N/A
6999,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X:N,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X:,N/A,N/A,N/A
7002,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
7024,Found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7026,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
7027,Found,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7032,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
7038,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X:N,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X:,N/A,N/A,N/A
7056,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
7066,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
7068,Found,SILL,10FORALERE00AC1P,LEFT REAR SEAT CROSSMEMBER X,CROSSMEMBER,10FORARIRE00AC1P,RIGHT REAR SEAT CROSSMEMBER X,N/A,N/A,N/A
7074,Found,CROSSMEMBER,10SEATLERE00AC1P,V1 LEFT REAR #1X,CROSSMEMBER,10SEATRIRE00AC1P,V1 RIGHT REAR #2X,N/A,N/A,N/A
